orbit_ids,object_ids,times.jd1,times.jd2,times.scale,x,y,z,vx,vy,vz,origin.code,frame.name,cov_x_x,cov_y_x,cov_y_y,cov_z_x,cov_z_y,cov_z_z,cov_vx_x,cov_vx_y,cov_vx_z,cov_vx_vx,cov_vy_x,cov_vy_y,cov_vy_z,cov_vy_vx,cov_vy_vy,cov_vz_x,cov_vz_y,cov_vz_z,cov_vz_vx,cov_vz_vy,cov_vz_vz
,1876 Napolitania (1970 BA),2457572.0,0.5,tdb,0.4129947297777791,1.8608859045391821,0.595071157005342,-0.011246969975220122,0.002950707739691608,-0.0032427324076779998,SUN,ecliptic,3.0744649799979344e-14,-4.736460654705863e-15,6.760374009969009e-15,5.42942170966445e-16,-7.0253098464012416e-15,2.810474877739942e-14,2.868549211485622e-17,1.3947192710534832e-17,1.6677257716448476e-17,2.1435334698889325e-19,8.801946258884398e-17,-2.87744529161798e-17,2.6076027421007386e-17,1.098634730018197e-19,4.414117131795e-19,2.848405748596373e-17,-1.6408093027446394e-18,9.762332096282777e-18,-1.0250121629666286e-19,-1.6386678642395036e-21,5.178827018714367e-19
,2001 Einstein (1973 EB),2457624.0,0.5,tdb,-1.108599981212163,-1.239278801706996,-0.5408945791541818,0.01031367780910033,-0.008280529902068266,-0.0032372880433883715,SUN,ecliptic,4.231192202791667e-15,-2.0932062743291636e-15,1.2137139574602259e-15,-7.25093744352685e-16,3.972617233370155e-16,3.8243032433745675e-16,2.041781999366417e-17,-9.768654209994012e-18,-2.9784532070756978e-18,1.0180870684773346e-19,1.0946302827306942e-17,-6.299489958643629e-18,-2.8633941774318085e-18,5.3388494241152286e-20,4.3763134528215064e-20,8.420400628166945e-18,-4.808396899329421e-18,-4.0716022801178897e-19,3.894123440024711e-20,1.2754570898818181e-20,3.8228042316900636e-20
,2 Pallas (A802 FA),2449991.0,0.5,tdb,-2.062030926341467,0.7023970749704802,-0.3176862344865526,-0.005704858423808389,-0.009143013528752384,0.006775836147322443,SUN,ecliptic,1.2970993604082557e-14,1.2064293163303205e-14,3.502313441592715e-14,-8.259821933838405e-15,-1.3602389886782371e-14,2.7950059685924458e-14,-7.552282327057791e-17,-1.2151734722442868e-16,9.541235047987395e-17,6.448437558559038e-19,3.502350165004535e-18,7.080333888100298e-17,-3.360001206901737e-17,-1.8377310417810373e-19,4.06868135268527e-19,5.2768218105360265e-18,-2.3164716630536102e-17,4.045715631084321e-17,1.300764728330757e-19,1.7703146482147166e-19,5.120128185708335e-19
,6 Hebe (A847 NA),2450775.0,0.5,tdb,-2.297099931744118,-1.5872135648782968,0.7135637452529824,0.0058159550355092295,-0.0070251277559936895,0.0003873590157718609,SUN,ecliptic,6.68586993187235e-15,-6.503821474027727e-15,1.634440243636212e-14,2.716613308829787e-15,1.2156566738740465e-15,1.4469688779457544e-14,1.84892542583713e-17,-2.0252580332378192e-17,-3.67809206149627e-18,6.953795406022872e-20,9.423219696425407e-18,-3.4350033747468644e-17,-6.090485536249322e-19,3.568224202175036e-20,8.733935679928694e-20,-9.047149741833302e-18,5.212720149774185e-18,-2.4718942438053086e-17,1.4406255549461428e-20,1.257573799862573e-20,1.7724562375710143e-19
,6522 Aci (1991 NQ),2457745.0,0.5,tdb,-0.5814089031036089,-1.7474236193433241,-0.508829267341073,0.012101600251035497,-0.005114376260882371,0.0036155926215379833,SUN,ecliptic,2.4033508194345065e-14,-5.4403817251806286e-15,1.5308150615321367e-15,8.753304316497144e-15,-2.0511971618206638e-15,3.3810088775123333e-15,6.537193204380846e-17,-1.3731335860724233e-17,2.393524982546631e-17,1.8372736727966756e-19,1.0652518989441955e-16,-2.459659970656199e-17,3.9053503592035977e-17,2.8962197149168713e-19,4.758394418168301e-19,3.5664860407106384e-17,-6.97272195549984e-18,1.2597292422762622e-17,9.802787403046895e-20,1.5419695064672617e-19,6.337964175571085e-20
,202930 Ivezic (1998 SG172),2457958.0,0.5,tdb,0.35251467259946934,2.6279983852845676,0.2103123704870631,-0.01029262378730181,0.002778983026446075,2.013222262660758e-05,SUN,ecliptic,1.0805524668009259e-13,-1.346628188883774e-14,1.5340174834393024e-14,-2.6445724845381455e-16,-4.26590195027449e-15,6.645131040807209e-14,7.742473919269964e-17,4.046847414800124e-17,3.565130841060557e-18,2.5132970073513975e-19,2.7606616587127095e-16,-4.7901167247904915e-17,-2.1453475490109978e-18,1.6663651419803094e-19,7.947029747586039e-19,2.110024215000435e-17,-6.394080171313517e-18,4.703488643673598e-17,1.7349644815288974e-21,-1.3478030490016718e-21,8.189541195007768e-19
,911 Agamemnon (A919 FB),2457476.0,0.5,tdb,-2.9644089144258707,-4.317466706649191,-2.0412309272331366,0.005864037298660362,-0.0038090385682855873,-0.0005339090047717826,SUN,ecliptic,2.4308907829584922e-14,4.460253982470352e-15,5.021200030880129e-15,3.900577005441766e-15,-9.765152984039533e-16,9.249459948561221e-15,2.6075197312998118e-17,7.210987698586251e-18,4.268822014733574e-18,3.506616478606313e-20,-5.4141777082466675e-18,-3.3688656717950077e-18,-6.916448957213415e-18,-2.4052813309421944e-21,1.78566836435154e-20,8.66737848817588e-18,8.457890464196353e-20,1.3718467592064048e-17,1.058024540326246e-20,-1.1199253924123968e-20,2.2843151127280894e-20
,1143 Odysseus (1930 BH),2457755.0,0.5,tdb,-1.911197333457601,-5.319465567331743,0.14996828100955795,0.006422562625499652,-0.0026327031836418753,0.00034078423961823943,SUN,ecliptic,3.291983398956282e-14,4.489055022040384e-15,3.1395788410936703e-15,-4.418094714042507e-15,6.941680409262256e-16,2.2517845438141644e-14,2.799903093448989e-17,6.955943547221723e-18,-3.680211922852703e-18,3.061055264143269e-20,1.0459744487975745e-17,1.6563338361446754e-18,3.038909578993085e-19,1.2121725352461945e-20,1.1850928718289625e-20,-5.768683876249061e-18,1.5723569409033762e-18,3.2075668101911224e-17,-4.745269008042909e-21,5.059798428350558e-22,5.822444163118864e-20
,1172 Aneas (1930 UA),2457042.0,0.5,tdb,0.3421612800059319,5.624044186607537,-0.5543124959959428,-0.006618256331447035,0.000630241922594432,-0.0019010920157176612,SUN,ecliptic,2.585290374728894e-13,-2.404580168856609e-14,3.2750108424698054e-14,3.4598697533455487e-14,6.691017495319495e-15,1.4993783242957674e-13,3.862304765881054e-18,3.616549567330167e-17,1.80486135951987e-18,6.053851314442319e-20,2.132235230246075e-16,-2.1409831762198834e-17,5.830925679298439e-17,-3.0284557498044006e-21,2.0181731920012835e-19,-2.0747703101299376e-17,1.1620492437695934e-17,-2.2428826090631143e-17,-3.820048026815357e-20,-2.1555375451668315e-21,1.9382411740962508e-19
,3317 Paris (1984 KF),2457594.0,0.5,tdb,-2.896317097113907,5.028690643701784,-0.8432598258689458,-0.005264819520944035,-0.002763565709015743,0.002985888847335964,SUN,ecliptic,6.528368454743667e-15,8.081002608192697e-15,2.20598449403115e-14,-5.147327304425832e-16,-5.605539051177691e-15,1.6683623590816677e-14,3.4669837690602676e-18,1.1413443009558918e-17,5.1985022694872954e-18,1.7185318897997602e-20,8.16554314732869e-18,2.1893788575080132e-17,-5.021280857979619e-19,1.3741612635525834e-20,3.732884099068382e-20,3.4845089137585986e-18,-2.4499915191939738e-18,2.7469612855164203e-17,2.139360036398451e-20,1.2245176734307524e-20,7.221828533593818e-20
,5145 Pholus (1992 AD),2455372.0,0.5,tdb,-6.29595900076766,-21.319128314428973,7.326662702112496,0.001932170207064909,-0.0026356621660093018,-0.0001786208548204767,SUN,ecliptic,1.0810916402789794e-11,2.6778005607008387e-11,2.2887681545922916e-10,-7.44460281172143e-12,-6.293328864158485e-11,2.5942918523101627e-11,2.7816563827391556e-15,1.7044012697444443e-14,-5.090897850873423e-15,1.7110749081474898e-18,7.933402813335022e-15,6.07783776697576e-14,-1.7509957449782602e-14,4.339629999135449e-18,1.6954245277936297e-17,-2.8644386209096693e-15,-2.0607243780605045e-14,6.1285933627654614e-15,-1.4324923904164494e-18,-5.448775141770889e-18,2.414529580356643e-18
,5335 Damocles (1991 DA),2448587.0,0.5,tdb,0.2943355124057447,-2.726454716300381,-3.156523424274649,0.006017885386903311,-0.008469059366359733,-0.0029444315590050076,SUN,ecliptic,1.751850452915532e-10,-3.579217285000124e-10,1.0460370994239052e-09,-2.3406950755820356e-10,6.550670532524087e-10,9.73398778950662e-10,4.53393318643943e-13,-9.307860256462208e-13,-8.122618484102464e-13,1.482704516281347e-15,-1.5489031318542477e-12,4.478710540434282e-12,3.124402380815834e-12,-4.131709101487434e-15,1.9610002986942112e-14,-1.819222341112376e-12,5.080611918777974e-12,1.9873096044772077e-12,-4.101586281014132e-15,2.139711166238382e-14,3.089658771583547e-14
,49036 Pelion (1998 QM107),2456514.0,0.5,tdb,18.67760402516444,6.621097418069504,-3.1111308355301066,-0.0008153206731293403,0.0037388888962106557,-0.0002639537534000758,SUN,ecliptic,1.9847652076267513e-09,7.723742363503747e-10,3.282457711501673e-10,-3.5212787115116113e-10,-1.3896050377721217e-10,8.106674430107957e-11,2.9196983940432903e-13,1.2242048932081e-13,-5.314806865898946e-14,5.679109852990315e-17,6.103285617273926e-13,2.306689016688777e-13,-1.0845000388475813e-13,8.045322887702787e-17,2.0456048792151631e-16,-9.904337803164863e-14,-3.914669047093993e-14,1.6850917956426578e-14,-1.4719112271541378e-17,-3.017357915271618e-17,1.1072375689545972e-17
,15760 Albion (1992 QB1),2456220.0,0.5,tdb,36.215145030064285,19.545878386810028,0.7599844951645404,-0.0012501594576961996,0.0024714004220428845,9.387352884964133e-05,SUN,ecliptic,2.8709321566799424e-07,1.5832027502365487e-07,8.758851230015402e-08,6.265428114925722e-09,3.463303026820792e-09,2.0699200678679994e-10,9.61153408430957e-13,8.274482900074667e-13,3.2448223887353333e-14,4.751082138620124e-16,2.4942090233317444e-11,1.3792140602219209e-11,5.458338229877948e-13,1.390225738680745e-16,2.1832669189885906e-15,9.617939697128659e-13,5.320748481198905e-13,1.9689646209290494e-14,5.645496291199913e-18,8.386761935274008e-17,1.2462085425216141e-17
,15788 (1993 SB),2457437.0,0.5,tdb,15.989341743789758,21.917658885927974,0.787338058810276,-0.0032319182662872386,0.0019547986104544173,5.627064910782238e-05,SUN,ecliptic,2.3702164053811013e-09,3.321170686203005e-09,4.6803586919234976e-09,1.2289398292544885e-10,1.7289260233389326e-10,1.417680435895753e-11,-3.834830589203283e-13,-5.330763822817534e-13,-1.973742606899394e-14,7.580441822642154e-17,5.460892779890035e-13,7.737276625455753e-13,2.862942136308044e-14,-7.916011018163145e-17,1.4273213336754186e-16,1.7854663363989983e-14,2.5339638618278984e-14,5.882020844637619e-16,-2.5402774049046788e-18,4.566794313677057e-18,4.8748504681029944e-18
,15789 (1993 SC),2456742.0,0.5,tdb,30.58451234069743,21.355560778000157,2.1760963070765014,-0.001219507139022852,0.002612056313653642,0.00022491293993547146,SUN,ecliptic,6.561517426224992e-08,4.6181302626223335e-08,3.254142914125179e-08,4.817077691382716e-09,3.3921325802196573e-09,3.7396256235906953e-10,3.3325262642906227e-13,2.541734579009399e-13,2.627451163060892e-14,5.4992820426816045e-17,7.645916451438578e-12,5.3874668869811094e-12,5.61892675397527e-13,4.9414045067896676e-17,8.985975376777411e-16,7.06003326889009e-13,4.976317976518536e-13,5.2000473501853986e-14,5.000449128113161e-18,8.262855448496878e-17,1.2418247065017414e-17
,'Oumuamua (A/2017 U1),2458080.0,0.5,tdb,1.8891361865245861,0.681582971620005,0.2590651707224729,0.02106502285867393,0.003903782164356583,0.008115468208139177,SUN,ecliptic,5.293550153867594e-10,-6.738652841114796e-11,8.582480128928701e-12,9.824915630337189e-11,-1.2507316668681348e-11,1.8238764369972365e-11,7.430781694395161e-12,-9.43842982453982e-13,1.3792868952736908e-12,1.145414954020393e-13,-9.22068388935486e-13,1.1732448321089628e-13,-1.7114133930456416e-13,-1.3311689504017868e-14,1.628392928736209e-15,2.0055185160276447e-12,-2.549542710480496e-13,3.722746272816693e-13,2.984761116574272e-14,-3.554698357572654e-15,7.888015859620467e-15
