orbit_id,object_id,time.jd1_tdb,time.jd2_tdb,x,y,z,vx,vy,vz,origin.code,cov_x_x,cov_y_x,cov_y_y,cov_z_x,cov_z_y,cov_z_z,cov_vx_x,cov_vx_y,cov_vx_z,cov_vx_vx,cov_vy_x,cov_vy_y,cov_vy_z,cov_vy_vx,cov_vy_vy,cov_vz_x,cov_vz_y,cov_vz_z,cov_vz_vx,cov_vz_vy,cov_vz_vz
,2 Pallas (A802 FA),2449992.0,-0.5,-2.062030926341467,0.7023970749704802,-0.3176862344865526,-0.005704858423808389,-0.009143013528752384,0.006775836147322443,SUN,1.2970993604082552e-14,1.2064293163303202e-14,3.502313441592715e-14,-8.259821933838411e-15,-1.3602389886782377e-14,2.795005968592446e-14,-7.552282327057798e-17,-1.215173472244288e-16,9.541235047987403e-17,6.448437558559045e-19,3.5023501650045145e-18,7.080333888100294e-17,-3.360001206901737e-17,-1.8377310417810361e-19,4.0686813526852694e-19,5.276821810536021e-18,-2.3164716630536093e-17,4.045715631084322e-17,1.3007647283307576e-19,1.7703146482147158e-19,5.120128185708334e-19
,6 Hebe (A847 NA),2450776.0,-0.5,-2.297099931744118,-1.5872135648782968,0.7135637452529824,0.0058159550355092295,-0.0070251277559936895,0.0003873590157718609,SUN,6.6858699318723384e-15,-6.503821474027733e-15,1.634440243636212e-14,2.716613308829787e-15,1.215656673874046e-15,1.4469688779457547e-14,1.848925425837124e-17,-2.0252580332378112e-17,-3.678092061496273e-18,6.953795406022846e-20,9.423219696425415e-18,-3.435003374746866e-17,-6.090485536249366e-19,3.5682242021750396e-20,8.733935679928695e-20,-9.047149741833296e-18,5.212720149774189e-18,-2.4718942438053083e-17,1.4406255549461332e-20,1.257573799862575e-20,1.7724562375710145e-19
,6522 Aci (1991 NQ),2457746.0,-0.5,-0.5814089031036089,-1.7474236193433241,-0.508829267341073,0.012101600251035497,-0.005114376260882371,0.0036155926215379833,SUN,2.4033508194345075e-14,-5.440381725180628e-15,1.530815061532136e-15,8.753304316497143e-15,-2.0511971618206618e-15,3.3810088775123326e-15,6.537193204380843e-17,-1.3731335860724226e-17,2.3935249825466308e-17,1.8372736727966752e-19,1.065251898944196e-16,-2.459659970656201e-17,3.905350359203598e-17,2.896219714916872e-19,4.758394418168305e-19,3.56648604071064e-17,-6.972721955499848e-18,1.2597292422762629e-17,9.8027874030469e-20,1.5419695064672626e-19,6.337964175571088e-20
,10297 Lynnejones (1988 RJ13),2457644.0,-0.5,-0.9669798252364118,-2.2090189104444495,-0.3018640998354352,0.01042533216090796,-0.0038017324953934337,-0.0024041730636208255,SUN,4.982717622042707e-14,-8.59336517897286e-15,8.252855727921189e-15,-5.524214173906963e-15,-2.5882927666698608e-15,2.677396729897469e-14,1.0110693006346084e-16,2.824018515366021e-18,-9.52389066046372e-18,2.882980070800392e-19,1.1627606064140982e-16,-3.038097797875781e-17,-3.2668272328292935e-17,1.9474309518750522e-19,3.73320851473754e-19,1.4114416404390278e-17,-1.5391140877426634e-17,3.708654893080922e-17,7.265278518441546e-20,-6.069918073078318e-20,4.879325388635324e-19
,17032 Edlu (1999 FM9),2457496.0,0.5,2.1881407022725585,2.320226524793861,-0.08943771387001247,-0.007474904552537161,0.004808021834008346,0.0003032579930703559,SUN,2.5061714546633225e-14,-1.4450039454086235e-14,1.6818833342318165e-14,2.917093214272371e-16,5.480641090010178e-16,2.990733114262689e-14,4.353261473123005e-17,-1.8096834586608623e-17,-1.3586212455038159e-18,8.761037987149452e-20,2.6095564080725213e-17,-4.193171481044234e-17,-1.0073054910421422e-18,3.188897924801308e-20,1.2737473702491306e-19,-1.9655445848186557e-18,8.925870636069625e-19,5.93502573930461e-18,5.12630193783368e-21,-1.1501603700729028e-21,2.3100543801085057e-19
,202930 Ivezic (1998 SG172),2457958.0,0.5,0.35251467259946934,2.6279983852845676,0.2103123704870631,-0.01029262378730181,0.002778983026446075,2.013222262660758e-05,SUN,1.080552466800931e-13,-1.3466281888837746e-14,1.5340174834393024e-14,-2.644572484538332e-16,-4.265901950274491e-15,6.645131040807209e-14,7.742473919270056e-17,4.04684741480011e-17,3.565130841060563e-18,2.5132970073514086e-19,2.760661658712688e-16,-4.790116724790465e-17,-2.1453475490110325e-18,1.6663651419802865e-19,7.947029747585954e-19,2.1100242150004932e-17,-6.3940801713135904e-18,4.703488643673598e-17,1.7349644815291867e-21,-1.3478030490000118e-21,8.189541195007769e-19
,911 Agamemnon (A919 FB),2457476.0,0.5,-2.9644089144258707,-4.317466706649191,-2.0412309272331366,0.005864037298660362,-0.0038090385682855873,-0.0005339090047717826,SUN,2.4308907829584878e-14,4.460253982470305e-15,5.021200030880164e-15,3.900577005441775e-15,-9.76515298403963e-16,9.249459948561221e-15,2.6075197312998037e-17,7.210987698586308e-18,4.2688220147335844e-18,3.5066164786063094e-20,-5.41417770824667e-18,-3.3688656717950335e-18,-6.916448957213423e-18,-2.405281330942193e-21,1.7856683643515445e-20,8.667378488175913e-18,8.457890464194886e-20,1.3718467592064042e-17,1.0580245403262496e-20,-1.119925392412393e-20,2.284315112728091e-20
,1143 Odysseus (1930 BH),2457756.0,-0.5,-1.911197333457601,-5.319465567331743,0.14996828100955795,0.006422562625499652,-0.0026327031836418753,0.00034078423961823943,SUN,3.2919833989563205e-14,4.489055022040389e-15,3.1395788410936727e-15,-4.418094714042488e-15,6.941680409262136e-16,2.251784543814164e-14,2.799903093448999e-17,6.955943547221682e-18,-3.680211922852704e-18,3.061055264143274e-20,1.0459744487975805e-17,1.6563338361446733e-18,3.038909578993149e-19,1.2121725352461981e-20,1.1850928718289687e-20,-5.768683876249057e-18,1.5723569409033726e-18,3.2075668101911224e-17,-4.7452690080428964e-21,5.059798428350502e-22,5.822444163118864e-20
,1172 Aneas (1930 UA),2457042.0,0.5,0.3421612800059319,5.624044186607537,-0.5543124959959428,-0.006618256331447035,0.000630241922594432,-0.0019010920157176612,SUN,2.585290374728903e-13,-2.4045801688566074e-14,3.275010842469806e-14,3.45986975334556e-14,6.6910174953194935e-15,1.4993783242957674e-13,3.862304765881053e-18,3.6165495673301683e-17,1.8048613595198632e-18,6.053851314442319e-20,2.132235230246076e-16,-2.1409831762198778e-17,5.830925679298435e-17,-3.0284557498043182e-21,2.0181731920012847e-19,-2.0747703101299397e-17,1.1620492437695926e-17,-2.242882609063115e-17,-3.820048026815357e-20,-2.1555375451668345e-21,1.9382411740962508e-19
,3317 Paris (1984 KF),2457594.0,0.5,-2.896317097113907,5.028690643701784,-0.8432598258689458,-0.005264819520944035,-0.002763565709015743,0.002985888847335964,SUN,6.528368454743658e-15,8.081002608192775e-15,2.205984494031154e-14,-5.147327304425474e-16,-5.6055390511776795e-15,1.668362359081666e-14,3.4669837690602807e-18,1.1413443009558925e-17,5.198502269487293e-18,1.7185318897997596e-20,8.165543147328683e-18,2.1893788575080136e-17,-5.021280857979613e-19,1.3741612635525828e-20,3.732884099068383e-20,3.48450891375862e-18,-2.449991519193962e-18,2.7469612855164206e-17,2.139360036398451e-20,1.2245176734307521e-20,7.221828533593817e-20
,5145 Pholus (1992 AD),2455372.0,0.5,-6.29595900076766,-21.319128314428973,7.326662702112496,0.001932170207064909,-0.0026356621660093018,-0.0001786208548204767,SUN,1.0810916402789234e-11,2.6778005607008452e-11,2.288768154592292e-10,-7.444602811721408e-12,-6.293328864158489e-11,2.5942918523101608e-11,2.7816563827391493e-15,1.7044012697444443e-14,-5.09089785087342e-15,1.7110749081474888e-18,7.933402813335074e-15,6.07783776697576e-14,-1.75099574497826e-14,4.339629999135452e-18,1.6954245277936297e-17,-2.8644386209096855e-15,-2.0607243780605045e-14,6.128593362765466e-15,-1.4324923904164505e-18,-5.448775141770893e-18,2.414529580356643e-18
,5335 Damocles (1991 DA),2448588.0,-0.5,0.2943355124057447,-2.726454716300381,-3.156523424274649,0.006017885386903311,-0.008469059366359733,-0.0029444315590050076,SUN,1.7518504529155226e-10,-3.5792172850001233e-10,1.0460370994239052e-09,-2.340695075582039e-10,6.550670532524088e-10,9.73398778950662e-10,4.5339331864394195e-13,-9.307860256462204e-13,-8.122618484102466e-13,1.4827045162813458e-15,-1.548903131854249e-12,4.478710540434282e-12,3.1244023808158334e-12,-4.1317091014874355e-15,1.9610002986942112e-14,-1.819222341112371e-12,5.08061191877797e-12,1.9873096044772105e-12,-4.101586281014127e-15,2.1397111662383822e-14,3.089658771583549e-14
,15760 Albion (1992 QB1),2456220.0,0.5,36.215145030064285,19.545878386810028,0.7599844951645404,-0.0012501594576961996,0.0024714004220428845,9.387352884964133e-05,SUN,2.8709321566799705e-07,1.5832027502365477e-07,8.758851230015397e-08,6.2654281149257696e-09,3.463303026820741e-09,2.069920067867982e-10,9.611534084310482e-13,8.274482900072608e-13,3.2448223887345836e-14,4.751082138620244e-16,2.4942090233317376e-11,1.3792140602219367e-11,5.458338229878012e-13,1.39022573868066e-16,2.1832669189885867e-15,9.6179396971286e-13,5.320748481199036e-13,1.9689646209290995e-14,5.645496291199222e-18,8.386761935273964e-17,1.2462085425216126e-17
,15788 (1993 SB),2457438.0,-0.5,15.989341743789758,21.917658885927974,0.787338058810276,-0.0032319182662872386,0.0019547986104544173,5.627064910782238e-05,SUN,2.370216405381055e-09,3.3211706862029866e-09,4.680358691923512e-09,1.22893982925448e-10,1.7289260233389373e-10,1.4176804358957536e-11,-3.834830589203312e-13,-5.330763822817514e-13,-1.9737426068993894e-14,7.580441822642128e-17,5.46089277988999e-13,7.737276625455773e-13,2.8629421363080524e-14,-7.916011018163188e-17,1.427321333675414e-16,1.7854663363990283e-14,2.5339638618278827e-14,5.882020844637592e-16,-2.540277404904668e-18,4.566794313677082e-18,4.874850468102994e-18
,15789 (1993 SC),2456742.0,0.5,30.58451234069743,21.355560778000157,2.1760963070765014,-0.001219507139022852,0.002612056313653642,0.00022491293993547146,SUN,6.561517426225043e-08,4.6181302626225314e-08,3.254142914124906e-08,4.817077691382764e-09,3.3921325802196225e-09,3.7396256235906704e-10,3.3325262642910357e-13,2.5417345790093743e-13,2.627451163060898e-14,5.499282042681861e-17,7.645916451438573e-12,5.3874668869811e-12,5.618926753975292e-13,4.941404506789714e-17,8.985975376777405e-16,7.06003326889016e-13,4.976317976518474e-13,5.200047350185356e-14,5.000449128113675e-18,8.262855448496906e-17,1.2418247065017439e-17
,'Oumuamua (A/2017 U1),2458080.0,0.5,1.8891361865245861,0.681582971620005,0.2590651707224729,0.02106502285867393,0.003903782164356583,0.008115468208139177,SUN,5.293550153868102e-10,-6.738652841114643e-11,8.582480128927536e-12,9.824915630338631e-11,-1.2507316668681764e-11,1.8238764369976075e-11,7.430781694395465e-12,-9.438429824538994e-13,1.3792868952738219e-12,1.1454149540203686e-13,-9.220683889355598e-13,1.1732448321089156e-13,-1.7114133930458592e-13,-1.3311689504018159e-14,1.6283929287363202e-15,2.0055185160277356e-12,-2.549542710480295e-13,3.72274627281705e-13,2.984761116574225e-14,-3.554698357572747e-15,7.888015859620371e-15
