orbit_id,object_id,jd1_tdb,jd2_tdb,x,y,z,vx,vy,vz,origin.code,cov_x_x,cov_y_x,cov_y_y,cov_z_x,cov_z_y,cov_z_z,cov_vx_x,cov_vx_y,cov_vx_z,cov_vx_vx,cov_vy_x,cov_vy_y,cov_vy_z,cov_vy_vx,cov_vy_vy,cov_vz_x,cov_vz_y,cov_vz_z,cov_vz_vx,cov_vz_vy,cov_vz_vz
00000,594913 'Aylo'chaxnim (2020 AV2),2459008.0,0.5,0.3127419319646602,0.5112492698549568,0.1339428902925789,-0.01918057195976608,0.00745407479668648,0.002741393235738793,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459009.0,-0.4791666669771075,0.3123422500253297,0.5114044212908829,0.1339999655024181,-0.01918889286105355,0.007440461678996916,0.002737826476153725,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459009.0,-0.4583333330228925,0.3119423948185991,0.5115592890343656,0.1340569663777233,-0.01919720562881026,0.00742684032221276,0.002734257120455988,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459010.0,0.5,0.2736071767541398,0.5248256941178379,0.1390754111220309,-0.01994107210406519,0.006109747680951768,0.00238713453265999,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459011.0,-0.4791666669771075,0.2731916596019541,0.5249528305356603,0.1391251033427415,-0.01994857301121308,0.006095347070245152,0.002383318222047969,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459011.0,-0.4583333330228925,0.2727759862743102,0.5250796668557786,0.1391747160298867,-0.01995606494654473,0.006080938301544206,0.002379499310378919,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459012.0,0.5,0.2330327356474449,0.5356381483487658,0.143475451510313,-0.02061890861842488,0.004690269548831917,0.002008914505968612,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459013.0,-0.4791666669771075,0.232603106320141,0.5357357042100477,0.1435172615488837,-0.02062550515474899,0.004675091797375967,0.00200484876468971,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459013.0,-0.4583333330228925,0.2321733396680322,0.5358329437846271,0.1435589868575031,-0.02063209179801278,0.004659906025695105,0.002000780430652446,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459014.0,0.5,0.1911922903618883,0.5435375076333462,0.1470951436666366,-0.02120559621639082,0.003196916960597026,0.001606811740409164,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459015.0,-0.4791666669771075,0.1907504487591701,0.5436039440595053,0.1471285739827176,-0.02121119582854972,0.003180978648985942,0.001602498175576669,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459015.0,-0.4583333330228925,0.1903084906114035,0.5436700483561603,0.1471619144061292,-0.0212167845392104,0.003165032528672604,0.001598182044209844,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459016.0,0.5,0.1482772897954671,0.5483778519639361,0.149886934518267,-0.02169184773532426,0.001631646780371559,0.001181070245119135,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459017.0,-0.4791666669771075,0.1478253293881709,0.5484116709278235,0.1499114926756433,-0.02169634936616217,0.001614972501955947,0.00117651244349558,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459017.0,-0.4583333330228925,0.1473732753218739,0.548445142432745,0.1499359558526017,-0.02170083899743595,0.001598290720292911,0.001171952125102953,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459018.0,0.5,0.1044985791433694,0.5500180077460655,0.1518039667863388,-0.02206755216514796,-2.717936867270355e-06,0.0007321512015798842,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459019.0,-0.4791666669771075,0.1040388041381472,0.5500177701394389,0.1518191699834781,-0.02207084613941422,-2.00934797577747e-05,0.0007273553175649523,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459019.0,-0.4583333330228925,0.1035789606458036,0.5500171704685736,0.1518342732409818,-0.02207412692667108,-3.747610293884274e-05,0.0007225569967496829,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459020.0,0.5,0.06008804967204377,0.5483234918390438,0.1528005730147842,-0.02232177750527898,-0.001702270917079758,0.000260794327597552,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459021.0,-0.4791666669771075,0.05962299211330446,0.5482878400649549,0.1528059538948924,-0.02232374572486914,-0.001720300481481511,0.0002557697761912858,SUN,,,,,,,,,,,,,,,,,,,,,
00000,594913 'Aylo'chaxnim (2020 AV2),2459021.0,-0.4583333330228925,0.05915789370058922,0.5482518126070886,0.1528112300726892,-0.02232569948469761,-0.001738336558571261,0.0002507429059550528,SUN,,,,,,,,,,,,,,,,,,,,,
