targetname,mjd_tdb,x,y,z,vx,vy,vz,a,q,Q,e,incl,Omega,w,M,nu,n,P,tp_mjd
1876 Napolitania (1970 BA),58121.0,0.4677341291468455,-1.61648288514519,-1.018710976355008,0.01135126560695668,-0.0003358012123636261,0.004608411469761977,1.964148369156879,1.869794050303772,2.058502688009985,0.04803828485401476,40.9338840477996,330.4065385282918,213.2205768750387,89.05424622147429,94.55527443139468,0.3580491423824715,1005.448575032319,57872.27926398907
2001 Einstein (1973 EB),58356.0,-1.094566850641207,1.105516200034927,1.117557565111692,-0.00949409623483684,-0.005487893694460707,-0.005970992719110029,1.933348262384919,1.74272566818491,2.123970856584929,0.09859713219224327,46.10558727028166,358.4365129316218,216.2315246015123,280.9940226775294,269.7098789381238,0.3666392326312701,981.8916470460017,58571.48696999904
2 Pallas (A802 FA),57870.0,2.964644625717728,0.1388006437987008,-0.2357603579788067,-0.002665042982037095,0.009076070445626727,-0.001610668574682083,2.773023116125752,2.133412766192126,3.412633466059378,0.230654532309575,11.86957553460972,160.4737954676489,323.4551021529695,263.904094224121,239.1883249493049,0.213439030247898,1686.664334924495,58320.22649167897
6 Hebe (A847 NA),57972.0,0.3477416047171777,-2.326293136846258,-0.5665893093394165,0.01025067764880128,0.004086481646075862,-0.0008998289019824115,2.424936003152732,1.933179068885172,2.916692937420291,0.2027917164115718,15.57944911161872,38.73988761844726,341.7563923730647,282.2612118778262,258.9299353339914,0.2610078994629055,1379.268599689119,58269.84074843023
6522 Aci (1991 NQ),57955.0,1.764015565122185,-1.314075161539944,-0.08587504820206363,0.007573091881565553,0.00598972738367312,0.007179803413805576,2.385068779178294,1.910690796400647,2.859446761955941,0.1988948859332603,37.99546054943936,326.1809894460926,278.144942838929,56.70728050323115,78.22181191862472,0.2675794228605665,1345.394934152292,57743.073089114856
10297 Lynnejones (1988 RJ13),57955.0,2.117786719707446,-0.8132573290242129,-0.9647487033159073,0.005963610593885829,0.008252451523954176,0.004670378152492872,2.582293972684724,2.405868368615654,2.758719576753794,0.06832127013240329,35.94508320939897,14.90242652895415,266.7781715536624,45.48386048529042,51.41028874585405,0.2375174661634459,1515.678008084966,57763.50309149921
17032 Edlu (1999 FM9),58019.0,-2.121150943072299,0.1947669887039927,0.1784584618126148,-0.001000531060314294,-0.01196033825631611,-0.005138566978009922,2.780697288208612,2.128368923819437,3.433025652597788,0.2345916497834327,23.53823877884896,5.842561356014449,180.129655258678,352.6283938064883,347.8034410437318,0.212556066170446,1693.670787599732,58053.680761299096
202930 Ivezic (1998 SG172),58190.0,-1.885514985739656,2.019644046844673,1.027649776333565,-0.007949474149567764,-0.004664147498720414,-0.002636522164707708,2.718262440853365,2.360698286781965,3.075826594924766,0.1315414393759372,27.88943894885703,357.6828046531779,356.2971699048963,124.1841042096766,135.5224089588081,0.2199211497497481,1636.950336107509,57625.32441354077
911 Agamemnon (A919 FB),57944.0,0.1419517999289708,-4.033327743636892,-3.833840862648208,0.007005518142460239,-0.0003644654543550424,0.001010700838167749,5.275968611277821,4.929715083305171,5.622222139250471,0.06562842834820982,44.3289183713611,348.5402067125807,68.76933534030154,214.9949210005811,210.957437237563,0.08132999942789816,4426.410949617088,59726.92241509212
1143 Odysseus (1930 BH),58065.0,0.1754929863227755,-5.332297233908549,-2.048701064470957,0.006863472908286084,4.006104431151203e-05,0.0002812643482652569,5.249637022436385,4.780995915863922,5.718278129008849,0.08927114476096949,21.17743808936562,354.2626507639631,103.3026641556817,172.6293111101143,173.8103786361781,0.08194267930364518,4393.314974068532,55958.29184038006
1172 Aneas (1930 UA),58271.0,-5.240972702387771,1.198087884408408,-1.139536482334051,-0.0004093252724221029,-0.006788803501608296,-0.002174422343792605,5.218280583384746,4.675848472836815,5.760712693932676,0.103948437014878,22.64318398525918,316.5845481422163,338.3327765685488,244.369782243947,234.2552032013354,0.08268237314512743,4354.01145741322,59669.48692481406
3317 Paris (1984 KF),58390.0,-5.099273799989438,0.2273628765985483,1.766599762046618,0.0004501797390908843,-0.007242603235406596,-0.0004897873303972251,5.221601353713745,4.558150456262043,5.885052251165447,0.1270588948694518,19.1607250894878,82.3558761205269,207.4429559002179,261.2830735845822,247.3675148340247,0.08260351069643816,4358.168278379518,59585.069381230045
5145 Pholus (1992 AD),55369.0,-6.301754924648817,-22.46725324378863,-1.754543531779525,0.001931761021157702,-0.002348687128431493,-0.001212412999307799,20.30484241567554,8.693560062636973,31.91612476871411,0.5718479422462565,23.75447729763776,64.49469739180628,54.04847208153776,73.88199769891384,136.6790397226401,0.01077220572639823,33419.33946896211,48510.42343959678
5335 Damocles (1991 DA),48587.0,0.2943355124060589,-1.245880384909429,-3.980575023100615,0.00601788538690325,-0.006598982439856599,-0.006070261486545759,11.87023913529165,1.578641615831195,22.1618366547521,0.8670084403659819,79.15760960152022,319.8429185928086,174.3369652408893,8.639984010464087,109.9009806355606,0.02409987952385978,14937.8340104807,48228.49264721805
15760 Albion (1992 QB1),56220.0,36.21514503006384,17.6306883362458,8.4721760566609,-0.001250159457696254,0.002230124810091423,0.001069193909871817,44.17222186652302,40.93039676880561,47.41404696424043,0.07339058260445618,25.6255938206472,359.9495909393298,5.108895092236511,20.14458990223021,23.31106863010714,0.003357223130262991,107231.4785260636,50219.62733467389
15788 (1993 SB),57437.0,15.98934174378975,19.79587377659963,9.440712562073069,-0.00323191826628724,0.001771109481285137,0.0008292015428636311,39.26948928885221,26.72618051753013,51.8127980601743,0.3194161421111951,25.3721232247862,359.599752275733,74.74878350263081,349.8847772554819,339.5188103763437,0.004005172209867633,89883.77556227417,59962.540030363016
15789 (1993 SC),56742.0,30.58451234069705,18.72774253918123,10.4912835566821,-0.001219507139022907,0.002307049583311919,0.001245369919497164,39.57094571972468,32.29071369101061,46.85117774843875,0.183979227594885,28.58499855730544,359.0081340729064,313.165915360922,62.32288320428969,82.76587551771267,0.003959491630328289,90920.7629692986,41001.87752394285
1I/'Oumuamua (A/2017 U1),58080.0,1.889136186533479,0.5222899434623108,0.5088057830311857,0.0210650228586455,0.0003535022471254453,0.008998631872968258,-1.272345007428081,0.2559115812959118,9.999999999999998e+99,1.201133796102373,143.1721305010814,35.73738403325243,257.8450305455764,51.15761979385627,126.9382003754125,0.6867469493396313,9.999999999999998e+99,58005.50732137496
